2026-03-22 14:07:39 status half-installed libncurses6:amd64 6.3-2
2026-03-22 14:07:39 status unpacked libncurses6:amd64 6.3-2
2026-03-22 14:07:39 install libncursesw6:amd64 <none> 6.3-2
2026-03-22 14:07:39 status half-installed libncursesw6:amd64 6.3-2
2026-03-22 14:07:39 status unpacked libncursesw6:amd64 6.3-2
2026-03-22 14:07:39 install libnsl2:amd64 <none> 1.3.0-2build2
2026-03-22 14:07:39 status half-installed libnsl2:amd64 1.3.0-2build2
2026-03-22 14:07:39 status unpacked libnsl2:amd64 1.3.0-2build2
2026-03-22 14:07:39 install libpam-modules:amd64 <none> 1.4.0-11ubuntu2
2026-03-22 14:07:39 status half-installed libpam-modules:amd64 1.4.0-11ubuntu2
2026-03-22 14:07:39 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2
2026-03-22 14:07:39 install libpam-modules-bin:amd64 <none> 1.4.0-11ubuntu2
2026-03-22 14:07:39 status half-installed libpam-modules-bin:amd64 1.4.0-11ubuntu2
2026-03-22 14:07:39 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2
2026-03-22 14:07:39 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2026-03-22 14:07:39 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2026-03-22 14:07:40 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2026-03-22 14:07:40 install libpam0g:amd64 <none> 1.4.0-11ubuntu2
2026-03-22 14:07:40 status half-installed libpam0g:amd64 1.4.0-11ubuntu2
2026-03-22 14:07:40 status unpacked libpam0g:amd64 1.4.0-11ubuntu2
2026-03-22 14:07:40 install libpcre2-8-0:amd64 <none> 10.39-3build1
2026-03-22 14:07:40 status half-installed libpcre2-8-0:amd64 10.39-3build1
2026-03-22 14:07:40 status unpacked libpcre2-8-0:amd64 10.39-3build1
2026-03-22 14:07:40 install libpcre3:amd64 <none> 2:8.39-13build5
2026-03-22 14:07:40 status half-installed libpcre3:amd64 2:8.39-13build5
2026-03-22 14:07:40 status unpacked libpcre3:amd64 2:8.39-13build5
2026-03-22 14:07:40 install libprocps8:amd64 <none> 2:3.3.17-6ubuntu2
2026-03-22 14:07:40 status half-installed libprocps8:amd64 2:3.3.17-6ubuntu2
2026-03-22 14:07:40 status unpacked libprocps8:amd64 2:3.3.17-6ubuntu2
2026-03-22 14:07:40 install libselinux1:amd64 <none> 3.3-1build2
2026-03-22 14:07:40 status half-installed libselinux1:amd64 3.3-1build2
2026-03-22 14:07:40 status unpacked libselinux1:amd64 3.3-1build2
2026-03-22 14:07:40 install libsemanage-common:all <none> 3.3-1build2
2026-03-22 14:07:40 status half-installed libsemanage-common:all 3.3-1build2
2026-03-22 14:07:40 status unpacked libsemanage-common:all 3.3-1build2
2026-03-22 14:07:40 install libsemanage2:amd64 <none> 3.3-1build2
2026-03-22 14:07:40 status half-installed libsemanage2:amd64 3.3-1build2
2026-03-22 14:07:40 status unpacked libsemanage2:amd64 3.3-1build2
2026-03-22 14:07:40 install libsepol2:amd64 <none> 3.3-1build1
2026-03-22 14:07:40 status half-installed libsepol2:amd64 3.3-1build1
2026-03-22 14:07:40 status unpacked libsepol2:amd64 3.3-1build1
2026-03-22 14:07:40 install libsmartcols1:amd64 <none> 2.37.2-4ubuntu3
2026-03-22 14:07:40 status half-installed libsmartcols1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:40 status unpacked libsmartcols1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:40 install libss2:amd64 <none> 1.46.5-2ubuntu1
2026-03-22 14:07:40 status half-installed libss2:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:40 status unpacked libss2:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:40 install libssl3:amd64 <none> 3.0.2-0ubuntu1
2026-03-22 14:07:40 status half-installed libssl3:amd64 3.0.2-0ubuntu1
2026-03-22 14:07:40 status unpacked libssl3:amd64 3.0.2-0ubuntu1
2026-03-22 14:07:40 install libsystemd0:amd64 <none> 249.11-0ubuntu3
2026-03-22 14:07:40 status half-installed libsystemd0:amd64 249.11-0ubuntu3
2026-03-22 14:07:40 status unpacked libsystemd0:amd64 249.11-0ubuntu3
2026-03-22 14:07:40 install libtinfo6:amd64 <none> 6.3-2
2026-03-22 14:07:40 status half-installed libtinfo6:amd64 6.3-2
2026-03-22 14:07:40 status unpacked libtinfo6:amd64 6.3-2
2026-03-22 14:07:40 install libtirpc-common:all <none> 1.3.2-2build1
2026-03-22 14:07:40 status half-installed libtirpc-common:all 1.3.2-2build1
2026-03-22 14:07:40 status unpacked libtirpc-common:all 1.3.2-2build1
2026-03-22 14:07:40 install libtirpc3:amd64 <none> 1.3.2-2build1
2026-03-22 14:07:40 status half-installed libtirpc3:amd64 1.3.2-2build1
2026-03-22 14:07:40 status unpacked libtirpc3:amd64 1.3.2-2build1
2026-03-22 14:07:40 install libudev1:amd64 <none> 249.11-0ubuntu3
2026-03-22 14:07:40 status half-installed libudev1:amd64 249.11-0ubuntu3
2026-03-22 14:07:40 status unpacked libudev1:amd64 249.11-0ubuntu3
2026-03-22 14:07:40 install libuuid1:amd64 <none> 2.37.2-4ubuntu3
2026-03-22 14:07:40 status half-installed libuuid1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:40 status unpacked libuuid1:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:40 install libzstd1:amd64 <none> 1.4.8+dfsg-3build1
2026-03-22 14:07:40 status half-installed libzstd1:amd64 1.4.8+dfsg-3build1
2026-03-22 14:07:40 status unpacked libzstd1:amd64 1.4.8+dfsg-3build1
2026-03-22 14:07:40 install login:amd64 <none> 1:4.8.1-2ubuntu2
2026-03-22 14:07:40 status half-installed login:amd64 1:4.8.1-2ubuntu2
2026-03-22 14:07:40 status unpacked login:amd64 1:4.8.1-2ubuntu2
2026-03-22 14:07:40 install logsave:amd64 <none> 1.46.5-2ubuntu1
2026-03-22 14:07:40 status half-installed logsave:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:40 status unpacked logsave:amd64 1.46.5-2ubuntu1
2026-03-22 14:07:40 install lsb-base:all <none> 11.1.0ubuntu4
2026-03-22 14:07:40 status half-installed lsb-base:all 11.1.0ubuntu4
2026-03-22 14:07:40 status unpacked lsb-base:all 11.1.0ubuntu4
2026-03-22 14:07:40 upgrade mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2026-03-22 14:07:40 status half-configured mawk:amd64 1.3.4.20200120-3
2026-03-22 14:07:40 status unpacked mawk:amd64 1.3.4.20200120-3
2026-03-22 14:07:40 status half-installed mawk:amd64 1.3.4.20200120-3
2026-03-22 14:07:40 status unpacked mawk:amd64 1.3.4.20200120-3
2026-03-22 14:07:40 install mount:amd64 <none> 2.37.2-4ubuntu3
2026-03-22 14:07:40 status half-installed mount:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:40 status unpacked mount:amd64 2.37.2-4ubuntu3
2026-03-22 14:07:40 install ncurses-base:all <none> 6.3-2
